"attribute","total_rows","non_null_values","null_ratio"
"access","640257","0","1"
"access_to_own_car","640257","0","1"
"application_contacts","640257","640257","0"
"application_deadline","640257","640257","0"
"application_details","640257","640257","0"
"description","640257","640257","0"
"detected_language","640257","639509","0.0011682808622162663"
"driving_license","640257","0","1"
"driving_license_required","640257","0","1"
"duration","640257","640257","0"
"employer","640257","640257","0"
"employment_type","640257","640257","0"
"experience_required","640257","0","1"
"external_id","640257","475031","0.25806199697933796"
"franchise","640257","640257","0"
"headline","640257","640257","0"
"hire_work_place","640257","640257","0"
"id","640257","640257","0"
"keywords","640257","640257","0"
"larling","640257","640257","0"
"last_publication_date","640257","640257","0"
"logo_url","640257","0","1"
"must_have","640257","640257","0"
"nice_to_have","640257","640257","0"
"number_of_vacancies","640257","640257","0"
"occupation","640257","640257","0"
"occupation_field","640257","640257","0"
"occupation_group","640257","640257","0"
"open_for_all","640257","640257","0"
"original_id","640257","640257","0"
"publication_date","640257","640257","0"
"remote_work","640257","640257","0"
"removed","640257","0","1"
"removed_date","640257","0","1"
"salary_description","479854","479854","0"
"salary_type","640257","640257","0"
"scope_of_work","640257","640257","0"
"source_type","640257","0","1"
"timestamp","640257","0","1"
"trainee","640257","640257","0"
"webpage_url","640257","0","1"
"working_hours_type","640257","640257","0"
"workplace_address","640257","640257","0"
